"","id","oid","ind","alt","block","card","plants","native","pollin","appear","cost","choice","sq","city","Income","sur","type","freqv","timev","travelt","PlantGuess","plrich","NativeGuess","natper","ColourGuess","PollinGuess","Gender","age","AgeLevel","Education","Employment","CNS_ScaleMean","Charity","park...34","park...35","visittime","traveltime","dogs","adults","child","Task","plantsA","plantsB","plantsC","plantsD","nativeA","nativeB","nativeC","nativeD","pollinA","pollinB","pollinC","pollinD","appearA","appearB","appearC","appearD","costA","costB","costC","costD","ID"
"8109",8589,358,338,1,2,11,1,1,0,3,5,1,0,3,-999,2,1,5,5,15,1,3,100,0.74375,2,3,1,1,18,5,5,4,0,"Inch_Park_Control",7,5,15,0,10,0,6,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,338
"8115",8595,359,339,3,2,3,1,0,0,3,60,1,0,3,26000,2,1,1,60,10,6,3,75,0.74375,2,1,0,4,45,5,3,5.230769231,1,"Inch_Park_Control",7,60,10,1,1,0,1,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,339
"8118",8598,359,339,2,2,6,2,1,0,1,40,1,0,3,26000,2,1,1,60,10,6,3,75,0.74375,2,1,0,4,45,5,3,5.230769231,1,"Inch_Park_Control",7,60,10,1,1,0,2,0,2,0,0,0,-1,0,0,1,2,1,0,0,0,3,0,10,60,5,0,339
"8122",8602,359,339,2,2,7,1,1,2,3,40,1,0,3,26000,2,1,1,60,10,6,3,75,0.74375,2,1,0,4,45,5,3,5.230769231,1,"Inch_Park_Control",7,60,10,1,1,0,3,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,339
"8127",8607,359,339,3,2,8,2,1,0,3,40,1,0,3,26000,2,1,1,60,10,6,3,75,0.74375,2,1,0,4,45,5,3,5.230769231,1,"Inch_Park_Control",7,60,10,1,1,0,4,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,339
"8129",8609,359,339,1,2,10,2,-1,1,2,60,1,0,3,26000,2,1,1,60,10,6,3,75,0.74375,2,1,0,4,45,5,3,5.230769231,1,"Inch_Park_Control",7,60,10,1,1,0,5,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,339
"8135",8615,359,339,3,2,11,1,1,2,0,10,1,0,3,26000,2,1,1,60,10,6,3,75,0.74375,2,1,0,4,45,5,3,5.230769231,1,"Inch_Park_Control",7,60,10,1,1,0,6,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,339
"8137",8617,360,340,1,2,3,2,1,2,0,0,1,0,3,5200,2,1,1,30,1,30,3,50,0.74375,2,1,0,6,65,5,4,5.076923077,0,"Inch_Park_Control",7,30,1,0,1,0,1,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,340
"8142",8622,360,340,2,2,6,2,1,0,1,40,1,0,3,5200,2,1,1,30,1,30,3,50,0.74375,2,1,0,6,65,5,4,5.076923077,0,"Inch_Park_Control",7,30,1,0,1,0,2,0,2,0,0,0,-1,0,0,1,2,1,0,0,0,3,0,10,60,5,0,340
"8146",8626,360,340,2,2,7,1,1,2,3,40,1,0,3,5200,2,1,1,30,1,30,3,50,0.74375,2,1,0,6,65,5,4,5.076923077,0,"Inch_Park_Control",7,30,1,0,1,0,3,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,340
"8149",8629,360,340,1,2,8,1,-1,1,1,40,1,0,3,5200,2,1,1,30,1,30,3,50,0.74375,2,1,0,6,65,5,4,5.076923077,0,"Inch_Park_Control",7,30,1,0,1,0,4,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,340
"8155",8635,360,340,3,2,10,0,1,1,0,5,1,0,3,5200,2,1,1,30,1,30,3,50,0.74375,2,1,0,6,65,5,4,5.076923077,0,"Inch_Park_Control",7,30,1,0,1,0,5,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,340
"8159",8639,360,340,3,2,11,1,1,2,0,10,1,0,3,5200,2,1,1,30,1,30,3,50,0.74375,2,1,0,6,65,5,4,5.076923077,0,"Inch_Park_Control",7,30,1,0,1,0,6,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,340
"8164",8644,361,341,4,2,3,0,0,0,0,0,1,1,3,36400,2,1,2,5,5,1,3,100,0.74375,2,1,0,2,25,5,1,4.538461538,0,"Inch_Park_Control",7,5,5,0,2,1,1,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,341
"8168",8648,361,341,4,2,6,0,0,0,0,0,1,1,3,36400,2,1,2,5,5,1,3,100,0.74375,2,1,0,2,25,5,1,4.538461538,0,"Inch_Park_Control",7,5,5,0,2,1,2,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,341
