"","id","oid","ind","alt","block","card","plants","native","pollin","appear","cost","choice","sq","city","Income","sur","type","freqv","timev","travelt","PlantGuess","plrich","NativeGuess","natper","ColourGuess","PollinGuess","Gender","age","AgeLevel","Education","Employment","CNS_ScaleMean","Charity","park...34","park...35","visittime","traveltime","dogs","adults","child","Task","plantsA","plantsB","plantsC","plantsD","nativeA","nativeB","nativeC","nativeD","pollinA","pollinB","pollinC","pollinD","appearA","appearB","appearC","appearD","costA","costB","costC","costD","ID"
"3",27,2,1,3,1,1,2,0,1,2,5,1,0,1,20800,1,1,4,10,5,6,7,100,0.6770833,1,1,0,6,65,5,4,5.230769231,1,"Middleton_Control",10,10,5,0,2,0,1,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,1
"7",31,2,1,3,1,2,2,-1,1,1,20,1,0,1,20800,1,1,4,10,5,6,7,100,0.6770833,1,1,0,6,65,5,4,5.230769231,1,"Middleton_Control",10,10,5,0,2,0,2,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,1
"10",34,2,1,2,1,4,1,-1,2,2,5,1,0,1,20800,1,1,4,10,5,6,7,100,0.6770833,1,1,0,6,65,5,4,5.230769231,1,"Middleton_Control",10,10,5,0,2,0,3,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,1
"14",38,2,1,2,1,5,0,1,1,1,10,1,0,1,20800,1,1,4,10,5,6,7,100,0.6770833,1,1,0,6,65,5,4,5.230769231,1,"Middleton_Control",10,10,5,0,2,0,4,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,1
"18",42,2,1,2,1,9,2,0,0,2,5,1,0,1,20800,1,1,4,10,5,6,7,100,0.6770833,1,1,0,6,65,5,4,5.230769231,1,"Middleton_Control",10,10,5,0,2,0,5,0,2,0,0,0,-1,0,0,1,2,1,0,0,0,3,0,10,60,5,0,1
"23",47,2,1,3,1,12,0,0,1,3,5,1,0,1,20800,1,1,4,10,5,6,7,100,0.6770833,1,1,0,6,65,5,4,5.230769231,1,"Middleton_Control",10,10,5,0,2,0,6,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,1
"25",49,3,2,1,1,1,1,0,1,2,20,1,0,3,31200,2,2,2,15,5,6,24,100,0.6777778,2,3,1,5,55,5,1,4,0,"St_Marks_Perrenial",16,15,5,0,1,0,1,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,2
"31",55,3,2,3,1,2,2,-1,1,1,20,1,0,3,31200,2,2,2,15,5,6,24,100,0.6777778,2,3,1,5,55,5,1,4,0,"St_Marks_Perrenial",16,15,5,0,1,0,2,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,2
"35",59,3,2,3,1,4,1,1,0,0,40,1,0,3,31200,2,2,2,15,5,6,24,100,0.6777778,2,3,1,5,55,5,1,4,0,"St_Marks_Perrenial",16,15,5,0,1,0,3,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,2
"37",61,3,2,1,1,5,2,-1,2,2,20,1,0,3,31200,2,2,2,15,5,6,24,100,0.6777778,2,3,1,5,55,5,1,4,0,"St_Marks_Perrenial",16,15,5,0,1,0,4,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,2
"41",65,3,2,1,1,9,2,0,0,0,10,1,0,3,31200,2,2,2,15,5,6,24,100,0.6777778,2,3,1,5,55,5,1,4,0,"St_Marks_Perrenial",16,15,5,0,1,0,5,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,2
"45",69,3,2,1,1,12,0,0,1,0,10,1,0,3,31200,2,2,2,15,5,6,24,100,0.6777778,2,3,1,5,55,5,1,4,0,"St_Marks_Perrenial",16,15,5,0,1,0,6,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,2
"49",73,4,3,1,1,1,1,0,1,2,20,1,0,3,20800,2,2,5,30,60,11,24,75,0.6777778,5,5,0,1,18,5,1,6.461538462,1,"St_Marks_Perrenial",16,30,60,0,5,0,1,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,3
"53",77,4,3,1,1,2,0,1,2,3,60,1,0,3,20800,2,2,5,30,60,11,24,75,0.6777778,5,5,0,1,18,5,1,6.461538462,1,"St_Marks_Perrenial",16,30,60,0,5,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,3
"57",81,4,3,1,1,4,0,0,0,1,0,1,0,3,20800,2,2,5,30,60,11,24,75,0.6777778,5,5,0,1,18,5,1,6.461538462,1,"St_Marks_Perrenial",16,30,60,0,5,0,3,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,3
"62",86,4,3,2,1,5,0,1,1,1,10,1,0,3,20800,2,2,5,30,60,11,24,75,0.6777778,5,5,0,1,18,5,1,6.461538462,1,"St_Marks_Perrenial",16,30,60,0,5,0,4,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,3
"67",91,4,3,3,1,9,0,0,2,2,60,1,0,3,20800,2,2,5,30,60,11,24,75,0.6777778,5,5,0,1,18,5,1,6.461538462,1,"St_Marks_Perrenial",16,30,60,0,5,0,5,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,3
"71",95,4,3,3,1,12,0,0,1,3,5,1,0,3,20800,2,2,5,30,60,11,24,75,0.6777778,5,5,0,1,18,5,1,6.461538462,1,"St_Marks_Perrenial",16,30,60,0,5,0,6,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,3
"75",99,5,4,3,1,1,2,0,1,2,5,1,0,3,15559,2,2,2,5,10,6,24,75,0.6777778,4,3,1,3,35,5,1,4.692307692,0,"St_Marks_Perrenial",16,5,10,0,1,0,1,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,4
"79",103,5,4,3,1,2,2,-1,1,1,20,1,0,3,15559,2,2,2,5,10,6,24,75,0.6777778,4,3,1,3,35,5,1,4.692307692,0,"St_Marks_Perrenial",16,5,10,0,1,0,2,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,4
"82",106,5,4,2,1,4,1,-1,2,2,5,1,0,3,15559,2,2,2,5,10,6,24,75,0.6777778,4,3,1,3,35,5,1,4.692307692,0,"St_Marks_Perrenial",16,5,10,0,1,0,3,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,4
"86",110,5,4,2,1,5,0,1,1,1,10,1,0,3,15559,2,2,2,5,10,6,24,75,0.6777778,4,3,1,3,35,5,1,4.692307692,0,"St_Marks_Perrenial",16,5,10,0,1,0,4,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,4
"89",113,5,4,1,1,9,2,0,0,0,10,1,0,3,15559,2,2,2,5,10,6,24,75,0.6777778,4,3,1,3,35,5,1,4.692307692,0,"St_Marks_Perrenial",16,5,10,0,1,0,5,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,4
"95",119,5,4,3,1,12,0,0,1,3,5,1,0,3,15559,2,2,2,5,10,6,24,75,0.6777778,4,3,1,3,35,5,1,4.692307692,0,"St_Marks_Perrenial",16,5,10,0,1,0,6,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,4
"99",123,6,5,3,1,1,2,0,1,2,5,1,0,3,36400,2,2,5,5,20,6,24,75,0.6777778,3,4,1,4,45,5,1,4,1,"St_Marks_Perrenial",16,5,20,0,1,0,1,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,5
"103",127,6,5,3,1,2,2,-1,1,1,20,1,0,3,36400,2,2,5,5,20,6,24,75,0.6777778,3,4,1,4,45,5,1,4,1,"St_Marks_Perrenial",16,5,20,0,1,0,2,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,5
"106",130,6,5,2,1,4,1,-1,2,2,5,1,0,3,36400,2,2,5,5,20,6,24,75,0.6777778,3,4,1,4,45,5,1,4,1,"St_Marks_Perrenial",16,5,20,0,1,0,3,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,5
"110",134,6,5,2,1,5,0,1,1,1,10,1,0,3,36400,2,2,5,5,20,6,24,75,0.6777778,3,4,1,4,45,5,1,4,1,"St_Marks_Perrenial",16,5,20,0,1,0,4,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,5
"113",137,6,5,1,1,9,2,0,0,0,10,1,0,3,36400,2,2,5,5,20,6,24,75,0.6777778,3,4,1,4,45,5,1,4,1,"St_Marks_Perrenial",16,5,20,0,1,0,5,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,5
"117",141,6,5,1,1,12,0,0,1,0,10,1,0,3,36400,2,2,5,5,20,6,24,75,0.6777778,3,4,1,4,45,5,1,4,1,"St_Marks_Perrenial",16,5,20,0,1,0,6,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,5
"121",145,7,6,1,1,1,1,0,1,2,20,1,0,3,-999,2,2,1,10,10,1,24,100,0.6777778,3,4,0,6,65,6,4,4.461538462,0,"St_Marks_Perrenial",16,10,10,0,2,0,1,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,6
"127",151,7,6,3,1,2,2,-1,1,1,20,1,0,3,-999,2,2,1,10,10,1,24,100,0.6777778,3,4,0,6,65,6,4,4.461538462,0,"St_Marks_Perrenial",16,10,10,0,2,0,2,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,6
"130",154,7,6,2,1,4,1,-1,2,2,5,1,0,3,-999,2,2,1,10,10,1,24,100,0.6777778,3,4,0,6,65,6,4,4.461538462,0,"St_Marks_Perrenial",16,10,10,0,2,0,3,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,6
"135",159,7,6,3,1,5,1,-1,0,1,20,1,0,3,-999,2,2,1,10,10,1,24,100,0.6777778,3,4,0,6,65,6,4,4.461538462,0,"St_Marks_Perrenial",16,10,10,0,2,0,4,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,6
"137",161,7,6,1,1,9,2,0,0,0,10,1,0,3,-999,2,2,1,10,10,1,24,100,0.6777778,3,4,0,6,65,6,4,4.461538462,0,"St_Marks_Perrenial",16,10,10,0,2,0,5,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,6
"143",167,7,6,3,1,12,0,0,1,3,5,1,0,3,-999,2,2,1,10,10,1,24,100,0.6777778,3,4,0,6,65,6,4,4.461538462,0,"St_Marks_Perrenial",16,10,10,0,2,0,6,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,6
"146",266,12,7,2,1,1,0,1,1,1,60,1,0,3,15559,2,3,1,120,5,30,27,75,0.7430556,3,5,1,1,18,-999,1,4.461538462,0,"Inch_Park_Annual",6,120,5,0,4,2,1,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,7
"149",269,12,7,1,1,2,0,1,2,3,60,1,0,3,15559,2,3,1,120,5,30,27,75,0.7430556,3,5,1,1,18,-999,1,4.461538462,0,"Inch_Park_Annual",6,120,5,0,4,2,2,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,7
"154",274,12,7,2,1,4,1,-1,2,2,5,1,0,3,15559,2,3,1,120,5,30,27,75,0.7430556,3,5,1,1,18,-999,1,4.461538462,0,"Inch_Park_Annual",6,120,5,0,4,2,3,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,7
"157",277,12,7,1,1,5,2,-1,2,2,20,1,0,3,15559,2,3,1,120,5,30,27,75,0.7430556,3,5,1,1,18,-999,1,4.461538462,0,"Inch_Park_Annual",6,120,5,0,4,2,4,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,7
"163",283,12,7,3,1,9,0,0,2,2,60,1,0,3,15559,2,3,1,120,5,30,27,75,0.7430556,3,5,1,1,18,-999,1,4.461538462,0,"Inch_Park_Annual",6,120,5,0,4,2,5,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,7
"166",286,12,7,2,1,12,2,-1,2,0,60,1,0,3,15559,2,3,1,120,5,30,27,75,0.7430556,3,5,1,1,18,-999,1,4.461538462,0,"Inch_Park_Annual",6,120,5,0,4,2,6,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,7
"171",291,13,8,3,1,1,2,0,1,2,5,1,0,3,2500,2,3,1,5,10,11,27,100,0.7430556,5,5,0,2,25,4,2,5.923076923,1,"Inch_Park_Annual",6,5,10,1,1,0,1,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,8
"173",293,13,8,1,1,2,0,1,2,3,60,1,0,3,2500,2,3,1,5,10,11,27,100,0.7430556,5,5,0,2,25,4,2,5.923076923,1,"Inch_Park_Annual",6,5,10,1,1,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,8
"178",298,13,8,2,1,4,1,-1,2,2,5,1,0,3,2500,2,3,1,5,10,11,27,100,0.7430556,5,5,0,2,25,4,2,5.923076923,1,"Inch_Park_Annual",6,5,10,1,1,0,3,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,8
"181",301,13,8,1,1,5,2,-1,2,2,20,1,0,3,2500,2,3,1,5,10,11,27,100,0.7430556,5,5,0,2,25,4,2,5.923076923,1,"Inch_Park_Annual",6,5,10,1,1,0,4,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,8
"186",306,13,8,2,1,9,2,0,0,2,5,1,0,3,2500,2,3,1,5,10,11,27,100,0.7430556,5,5,0,2,25,4,2,5.923076923,1,"Inch_Park_Annual",6,5,10,1,1,0,5,0,2,0,0,0,-1,0,0,1,2,1,0,0,0,3,0,10,60,5,0,8
"191",311,13,8,3,1,12,0,0,1,3,5,1,0,3,2500,2,3,1,5,10,11,27,100,0.7430556,5,5,0,2,25,4,2,5.923076923,1,"Inch_Park_Annual",6,5,10,1,1,0,6,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,8
"195",315,14,9,3,1,1,2,0,1,2,5,1,0,3,26000,2,2,2,45,2,11,24,25,0.6818182,3,4,0,2,25,2,1,3.769230769,0,"Pilrig_Perrenial",12,45,2,0,2,1,1,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,9
"197",317,14,9,1,1,2,0,1,2,3,60,1,0,3,26000,2,2,2,45,2,11,24,25,0.6818182,3,4,0,2,25,2,1,3.769230769,0,"Pilrig_Perrenial",12,45,2,0,2,1,2,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,9
"202",322,14,9,2,1,4,1,-1,2,2,5,1,0,3,26000,2,2,2,45,2,11,24,25,0.6818182,3,4,0,2,25,2,1,3.769230769,0,"Pilrig_Perrenial",12,45,2,0,2,1,3,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,9
"205",325,14,9,1,1,5,2,-1,2,2,20,1,0,3,26000,2,2,2,45,2,11,24,25,0.6818182,3,4,0,2,25,2,1,3.769230769,0,"Pilrig_Perrenial",12,45,2,0,2,1,4,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,9
"211",331,14,9,3,1,9,0,0,2,2,60,1,0,3,26000,2,2,2,45,2,11,24,25,0.6818182,3,4,0,2,25,2,1,3.769230769,0,"Pilrig_Perrenial",12,45,2,0,2,1,5,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,9
"215",335,14,9,3,1,12,0,0,1,3,5,1,0,3,26000,2,2,2,45,2,11,24,25,0.6818182,3,4,0,2,25,2,1,3.769230769,0,"Pilrig_Perrenial",12,45,2,0,2,1,6,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,9
"219",339,15,10,3,1,1,2,0,1,2,5,1,0,3,31200,2,2,3,5,10,21,24,50,0.6818182,3,5,1,4,45,4,1,5.230769231,0,"Pilrig_Perrenial",12,5,10,1,1,0,1,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,10
"223",343,15,10,3,1,2,2,-1,1,1,20,1,0,3,31200,2,2,3,5,10,21,24,50,0.6818182,3,5,1,4,45,4,1,5.230769231,0,"Pilrig_Perrenial",12,5,10,1,1,0,2,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,10
"226",346,15,10,2,1,4,1,-1,2,2,5,1,0,3,31200,2,2,3,5,10,21,24,50,0.6818182,3,5,1,4,45,4,1,5.230769231,0,"Pilrig_Perrenial",12,5,10,1,1,0,3,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,10
"229",349,15,10,1,1,5,2,-1,2,2,20,1,0,3,31200,2,2,3,5,10,21,24,50,0.6818182,3,5,1,4,45,4,1,5.230769231,0,"Pilrig_Perrenial",12,5,10,1,1,0,4,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,10
"234",354,15,10,2,1,9,2,0,0,2,5,1,0,3,31200,2,2,3,5,10,21,24,50,0.6818182,3,5,1,4,45,4,1,5.230769231,0,"Pilrig_Perrenial",12,5,10,1,1,0,5,0,2,0,0,0,-1,0,0,1,2,1,0,0,0,3,0,10,60,5,0,10
"239",359,15,10,3,1,12,0,0,1,3,5,1,0,3,31200,2,2,3,5,10,21,24,50,0.6818182,3,5,1,4,45,4,1,5.230769231,0,"Pilrig_Perrenial",12,5,10,1,1,0,6,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,10
"244",364,16,11,4,1,1,0,0,0,0,0,1,1,3,10400,2,2,2,10,5,11,24,75,0.6818182,4,4,0,6,65,2,4,5.692307692,0,"Pilrig_Perrenial",12,10,5,0,1,0,1,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,11
"248",368,16,11,4,1,2,0,0,0,0,0,1,1,3,10400,2,2,2,10,5,11,24,75,0.6818182,4,4,0,6,65,2,4,5.692307692,0,"Pilrig_Perrenial",12,10,5,0,1,0,2,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,11
"252",372,16,11,4,1,4,0,0,0,0,0,1,1,3,10400,2,2,2,10,5,11,24,75,0.6818182,4,4,0,6,65,2,4,5.692307692,0,"Pilrig_Perrenial",12,10,5,0,1,0,3,0,2,0,0,0,-1,0,0,1,2,1,0,0,0,3,0,10,60,5,0,11
"256",376,16,11,4,1,5,0,0,0,0,0,1,1,3,10400,2,2,2,10,5,11,24,75,0.6818182,4,4,0,6,65,2,4,5.692307692,0,"Pilrig_Perrenial",12,10,5,0,1,0,4,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,11
"260",380,16,11,4,1,9,0,0,0,0,0,1,1,3,10400,2,2,2,10,5,11,24,75,0.6818182,4,4,0,6,65,2,4,5.692307692,0,"Pilrig_Perrenial",12,10,5,0,1,0,5,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,11
"264",384,16,11,4,1,12,0,0,0,0,0,1,1,3,10400,2,2,2,10,5,11,24,75,0.6818182,4,4,0,6,65,2,4,5.692307692,0,"Pilrig_Perrenial",12,10,5,0,1,0,6,0,2,0,0,0,-1,0,0,1,2,1,0,0,0,3,0,10,60,5,0,11
"265",385,17,12,1,1,1,1,0,1,2,20,1,0,3,26000,2,2,2,3,10,6,24,100,0.6777778,4,5,1,5,55,4,1,3.846153846,0,"St_Marks_Perrenial",16,3,10,0,3,0,1,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,12
"269",389,17,12,1,1,2,0,1,2,3,60,1,0,3,26000,2,2,2,3,10,6,24,100,0.6777778,4,5,1,5,55,4,1,3.846153846,0,"St_Marks_Perrenial",16,3,10,0,3,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,12
"274",394,17,12,2,1,4,1,-1,2,2,5,1,0,3,26000,2,2,2,3,10,6,24,100,0.6777778,4,5,1,5,55,4,1,3.846153846,0,"St_Marks_Perrenial",16,3,10,0,3,0,3,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,12
"277",397,17,12,1,1,5,2,-1,2,2,20,1,0,3,26000,2,2,2,3,10,6,24,100,0.6777778,4,5,1,5,55,4,1,3.846153846,0,"St_Marks_Perrenial",16,3,10,0,3,0,4,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,12
"283",403,17,12,3,1,9,0,0,2,2,60,1,0,3,26000,2,2,2,3,10,6,24,100,0.6777778,4,5,1,5,55,4,1,3.846153846,0,"St_Marks_Perrenial",16,3,10,0,3,0,5,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,12
"286",406,17,12,2,1,12,2,-1,2,0,60,1,0,3,26000,2,2,2,3,10,6,24,100,0.6777778,4,5,1,5,55,4,1,3.846153846,0,"St_Marks_Perrenial",16,3,10,0,3,0,6,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,12
"291",411,18,13,3,1,1,2,0,1,2,5,1,0,3,5200,2,2,1,10,5,11,24,100,0.6777778,3,5,1,4,45,3,1,6,0,"St_Marks_Perrenial",16,10,5,2,1,0,1,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,13
"293",413,18,13,1,1,2,0,1,2,3,60,1,0,3,5200,2,2,1,10,5,11,24,100,0.6777778,3,5,1,4,45,3,1,6,0,"St_Marks_Perrenial",16,10,5,2,1,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,13
"299",419,18,13,3,1,4,1,1,0,0,40,1,0,3,5200,2,2,1,10,5,11,24,100,0.6777778,3,5,1,4,45,3,1,6,0,"St_Marks_Perrenial",16,10,5,2,1,0,3,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,13
"301",421,18,13,1,1,5,2,-1,2,2,20,1,0,3,5200,2,2,1,10,5,11,24,100,0.6777778,3,5,1,4,45,3,1,6,0,"St_Marks_Perrenial",16,10,5,2,1,0,4,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,13
"306",426,18,13,2,1,9,2,0,0,2,5,1,0,3,5200,2,2,1,10,5,11,24,100,0.6777778,3,5,1,4,45,3,1,6,0,"St_Marks_Perrenial",16,10,5,2,1,0,5,0,2,0,0,0,-1,0,0,1,2,1,0,0,0,3,0,10,60,5,0,13
"311",431,18,13,3,1,12,0,0,1,3,5,1,0,3,5200,2,2,1,10,5,11,24,100,0.6777778,3,5,1,4,45,3,1,6,0,"St_Marks_Perrenial",16,10,5,2,1,0,6,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,13
"316",436,19,14,4,1,1,0,0,0,0,0,1,1,3,5200,2,2,5,3,20,1,24,25,0.6777778,3,2,1,1,18,1,1,3.153846154,0,"St_Marks_Perrenial",16,3,20,0,4,0,1,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,14
"320",440,19,14,4,1,2,0,0,0,0,0,1,1,3,5200,2,2,5,3,20,1,24,25,0.6777778,3,2,1,1,18,1,1,3.153846154,0,"St_Marks_Perrenial",16,3,20,0,4,0,2,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,14
"324",444,19,14,4,1,4,0,0,0,0,0,1,1,3,5200,2,2,5,3,20,1,24,25,0.6777778,3,2,1,1,18,1,1,3.153846154,0,"St_Marks_Perrenial",16,3,20,0,4,0,3,0,2,0,0,0,-1,0,0,1,2,1,0,0,0,3,0,10,60,5,0,14
"328",448,19,14,4,1,5,0,0,0,0,0,1,1,3,5200,2,2,5,3,20,1,24,25,0.6777778,3,2,1,1,18,1,1,3.153846154,0,"St_Marks_Perrenial",16,3,20,0,4,0,4,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,14
"332",452,19,14,4,1,9,0,0,0,0,0,1,1,3,5200,2,2,5,3,20,1,24,25,0.6777778,3,2,1,1,18,1,1,3.153846154,0,"St_Marks_Perrenial",16,3,20,0,4,0,5,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,14
"336",456,19,14,4,1,12,0,0,0,0,0,1,1,3,5200,2,2,5,3,20,1,24,25,0.6777778,3,2,1,1,18,1,1,3.153846154,0,"St_Marks_Perrenial",16,3,20,0,4,0,6,0,2,0,0,0,-1,0,0,1,2,1,0,0,0,3,0,10,60,5,0,14
"337",457,20,15,1,1,1,1,0,1,2,20,1,0,3,31200,2,3,1,10,10,11,27,100,0.7430556,5,5,0,3,35,5,1,5.846153846,0,"Inch_Park_Annual",6,10,10,0,2,0,1,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,15
"341",461,20,15,1,1,2,0,1,2,3,60,1,0,3,31200,2,3,1,10,10,11,27,100,0.7430556,5,5,0,3,35,5,1,5.846153846,0,"Inch_Park_Annual",6,10,10,0,2,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,15
"346",466,20,15,2,1,4,1,-1,2,2,5,1,0,3,31200,2,3,1,10,10,11,27,100,0.7430556,5,5,0,3,35,5,1,5.846153846,0,"Inch_Park_Annual",6,10,10,0,2,0,3,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,15
"350",470,20,15,2,1,5,0,1,1,1,10,1,0,3,31200,2,3,1,10,10,11,27,100,0.7430556,5,5,0,3,35,5,1,5.846153846,0,"Inch_Park_Annual",6,10,10,0,2,0,4,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,15
"355",475,20,15,3,1,9,0,0,2,2,60,1,0,3,31200,2,3,1,10,10,11,27,100,0.7430556,5,5,0,3,35,5,1,5.846153846,0,"Inch_Park_Annual",6,10,10,0,2,0,5,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,15
"359",479,20,15,3,1,12,0,0,1,3,5,1,0,3,31200,2,3,1,10,10,11,27,100,0.7430556,5,5,0,3,35,5,1,5.846153846,0,"Inch_Park_Annual",6,10,10,0,2,0,6,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,15
"363",483,21,16,3,1,1,2,0,1,2,5,1,0,3,31200,2,3,2,10,10,21,27,50,0.7430556,5,5,1,2,25,5,1,6,1,"Inch_Park_Annual",6,10,10,0,2,0,1,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,16
"365",485,21,16,1,1,2,0,1,2,3,60,1,0,3,31200,2,3,2,10,10,21,27,50,0.7430556,5,5,1,2,25,5,1,6,1,"Inch_Park_Annual",6,10,10,0,2,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,16
"370",490,21,16,2,1,4,1,-1,2,2,5,1,0,3,31200,2,3,2,10,10,21,27,50,0.7430556,5,5,1,2,25,5,1,6,1,"Inch_Park_Annual",6,10,10,0,2,0,3,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,16
